SiteName,MonitorDate,Concentration,ItemUnit
美濃,20200512,15,μgm3
基隆,20200512,12,μgm3
宜蘭,20200512,9,μgm3
苗栗,20200512,19,μgm3
桃園,20200512,18,μgm3
恆春,20200512,10,μgm3
馬公,20200512,14,μgm3
嘉義,20200512,29,μgm3
金門,20200512,27,μgm3
屏東,20200512,18,μgm3
朴子,20200512,19,μgm3
彰化,20200512,18,μgm3
板橋,20200512,16,μgm3
臺南,20200512,19,μgm3
忠明,20200512,18,μgm3
馬祖,20200512,52,μgm3
平鎮,20200512,18,μgm3
三義,20200512,20,μgm3
前金,20200512,19,μgm3
新竹,20200512,16,μgm3
臺東,20200512,7,μgm3
花蓮,20200512,11,μgm3
士林,20200512,14,μgm3
汐止,20200512,14,μgm3
豐原,20200512,20,μgm3
陽明,20200512,7,μgm3
南投,20200512,23,μgm3
竹東,20200512,21,μgm3
斗六,20200512,32,μgm3
新營,20200512,21,μgm3
萬華,20200512,16,μgm3
馬公,20200509,6,μgm3
板橋,20200509,11,μgm3
基隆,20200509,11,μgm3
新竹,20200509,8,μgm3
士林,20200509,9,μgm3
馬祖,20200509,12,μgm3
宜蘭,20200509,10,μgm3
平鎮,20200509,9,μgm3
臺東,20200509,9,μgm3
桃園,20200509,10,μgm3
美濃,20200509,7,μgm3
恆春,20200509,6,μgm3
忠明,20200509,8,μgm3
朴子,20200509,7,μgm3
花蓮,20200509,8,μgm3
陽明,20200509,8,μgm3
汐止,20200509,12,μgm3
萬華,20200509,11,μgm3
南投,20200509,8,μgm3
金門,20200509,7,μgm3
彰化,20200509,8,μgm3
嘉義,20200509,6,μgm3
屏東,20200509,8,μgm3
新營,20200509,7,μgm3
三義,20200509,8,μgm3
前金,20200509,6,μgm3
苗栗,20200509,7,μgm3
臺南,20200509,6,μgm3
竹東,20200509,11,μgm3
豐原,20200509,7,μgm3
金門,20200506,17,μgm3
板橋,20200506,13,μgm3
彰化,20200506,9,μgm3
花蓮,20200506,12,μgm3
恆春,20200506,6,μgm3
三義,20200506,9,μgm3
朴子,20200506,9,μgm3
竹東,20200506,10,μgm3
萬華,20200506,13,μgm3
平鎮,20200506,12,μgm3
嘉義,20200506,8,μgm3
屏東,20200506,9,μgm3
新營,20200506,8,μgm3
前金,20200506,7,μgm3
豐原,20200506,9,μgm3
基隆,20200506,13,μgm3
馬祖,20200506,18,μgm3
臺東,20200506,11,μgm3
桃園,20200506,12,μgm3
美濃,20200506,8,μgm3
宜蘭,20200506,14,μgm3
臺南,20200506,7,μgm3
忠明,20200506,9,μgm3
士林,20200506,11,μgm3
斗六,20200506,8,μgm3
新竹,20200506,12,μgm3
馬公,20200506,7,μgm3
陽明,20200506,7,μgm3
南投,20200506,10,μgm3
苗栗,20200506,8,μgm3
馬祖,20200503,19,μgm3
基隆,20200503,18,μgm3
馬公,20200503,9,μgm3
板橋,20200503,19,μgm3
斗六,20200503,11,μgm3
南投,20200503,14,μgm3
豐原,20200503,13,μgm3
忠明,20200503,13,μgm3
前金,20200503,6,μgm3
竹東,20200503,15,μgm3
屏東,20200503,10,μgm3
新營,20200503,8,μgm3
嘉義,20200503,9,μgm3
苗栗,20200503,10,μgm3
萬華,20200503,18,μgm3
朴子,20200503,8,μgm3
汐止,20200503,18,μgm3
新竹,20200503,12,μgm3
陽明,20200503,13,μgm3
美濃,20200503,10,μgm3
恆春,20200503,6,μgm3
宜蘭,20200503,16,μgm3
臺東,20200503,8,μgm3
臺南,20200503,7,μgm3
花蓮,20200503,9,μgm3
三義,20200503,13,μgm3
桃園,20200503,18,μgm3
士林,20200503,18,μgm3
彰化,20200503,12,μgm3
萬華,20200430,21,μgm3
平鎮,20200430,26,μgm3
宜蘭,20200430,18,μgm3
恆春,20200430,15,μgm3
汐止,20200430,20,μgm3
屏東,20200430,22,μgm3
前金,20200430,19,μgm3
豐原,20200430,23,μgm3
臺東,20200430,15,μgm3
馬公,20200430,18,μgm3
美濃,20200430,18,μgm3
士林,20200430,19,μgm3
金門,20200430,28,μgm3
新竹,20200430,23,μgm3
彰化,20200430,29,μgm3
花蓮,20200430,14,μgm3
板橋,20200430,22,μgm3
南投,20200430,25,μgm3
陽明,20200430,16,μgm3
斗六,20200430,27,μgm3
臺南,20200430,23,μgm3
桃園,20200430,25,μgm3
馬祖,20200430,23,μgm3
基隆,20200430,17,μgm3
新營,20200430,25,μgm3
嘉義,20200430,27,μgm3
朴子,20200430,29,μgm3
三義,20200430,20,μgm3
忠明,20200430,25,μgm3
竹東,20200430,22,μgm3
竹東,20200427,9,μgm3
屏東,20200427,17,μgm3
臺南,20200427,15,μgm3
忠明,20200427,18,μgm3
前金,20200427,18,μgm3
豐原,20200427,20,μgm3
基隆,20200427,8,μgm3
板橋,20200427,9,μgm3
馬祖,20200427,23,μgm3
臺東,20200427,4,μgm3
桃園,20200427,9,μgm3
陽明,20200427,6,μgm3
三義,20200427,13,μgm3
