日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
107/03/01,"2,166,731","48,991,336",22.45,22.80,22.40,22.65, 0.00,"1,263"
107/03/02,"2,441,300","54,860,121",22.45,22.70,22.35,22.55,-0.10,"1,379"
107/03/05,"3,094,000","69,168,391",22.45,22.55,22.20,22.20,-0.35,"1,551"
107/03/06,"1,269,280","28,349,112",22.45,22.45,22.25,22.25,+0.05,658
107/03/07,"2,270,849","50,823,561",22.25,22.45,22.25,22.35,+0.10,"1,055"
107/03/08,"1,669,711","37,431,278",22.35,22.50,22.35,22.45,+0.10,940
107/03/09,"1,778,359","39,991,372",22.45,22.55,22.45,22.45, 0.00,648
107/03/12,"2,001,444","45,107,568",22.50,22.60,22.45,22.60,+0.15,831
107/03/13,"1,869,703","42,408,186",22.55,22.75,22.55,22.75,+0.15,991
107/03/14,"2,486,171","56,741,963",22.75,22.90,22.75,22.80,+0.05,997
107/03/15,"1,139,691","26,001,665",22.80,22.90,22.75,22.75,-0.05,614
107/03/16,"4,051,054","92,587,671",22.75,22.90,22.70,22.90,+0.15,"1,309"
107/03/19,"1,458,510","33,384,485",22.90,22.95,22.80,22.85,-0.05,"1,015"
107/03/20,"1,478,215","33,659,795",22.75,22.85,22.70,22.80,-0.05,819
107/03/21,"919,609","20,942,485",22.80,22.85,22.70,22.80, 0.00,474
107/03/22,"1,994,188","45,390,925",22.80,22.80,22.70,22.75,-0.05,876
107/03/23,"2,542,228","57,152,175",22.50,22.55,22.40,22.45,-0.30,"1,358"
107/03/26,"1,662,569","37,408,030",22.45,22.60,22.40,22.60,+0.15,915
107/03/27,"1,274,398","28,821,607",22.65,22.70,22.55,22.55,-0.05,802
107/03/28,"931,637","20,960,819",22.55,22.60,22.45,22.45,-0.10,574
107/03/29,"2,778,811","62,101,417",22.60,22.60,22.30,22.30,-0.15,"1,592"
107/03/30,"1,761,059","39,657,167",22.35,22.65,22.35,22.60,+0.30,704
107/03/31,"668,950","15,003,261",22.60,22.60,22.40,22.40,-0.20,339
107/06/01,"3,831,847","89,526,272",23.30,23.70,23.20,23.55,+0.40,"1,663"
107/06/04,"2,885,410","68,481,511",23.55,23.95,23.55,23.90,+0.35,"1,383"
107/06/05,"2,185,513","52,031,948",23.90,23.90,23.70,23.80,-0.10,"1,124"
107/06/06,"1,820,863","43,307,887",23.80,23.85,23.70,23.85,+0.05,"1,063"
107/06/07,"1,738,141","41,322,941",23.85,23.85,23.70,23.85, 0.00,880
107/06/08,"1,573,129","37,229,743",23.70,23.75,23.60,23.70,-0.15,855
107/06/11,"1,086,882","25,773,945",23.60,23.80,23.60,23.70, 0.00,752
107/06/12,"1,435,570","33,833,258",23.55,23.65,23.50,23.55,-0.15,784
107/06/13,"1,242,883","29,228,956",23.50,23.60,23.50,23.50,-0.05,835
107/06/14,"2,013,383","46,980,820",23.40,23.40,23.30,23.30,-0.20,880
107/06/15,"4,671,719","111,724,236",23.30,24.10,23.20,24.10,+0.80,961
107/06/19,"3,632,107","85,219,059",23.70,23.70,23.30,23.40,-0.70,"1,731"
107/06/20,"2,381,939","55,920,642",23.35,23.80,23.25,23.70,+0.30,"1,255"
107/06/21,"2,092,127","49,160,767",23.45,23.70,23.35,23.60,-0.10,"1,285"
107/06/22,"1,953,039","45,938,715",23.55,23.60,23.40,23.50,-0.10,"1,069"
107/06/25,"2,590,805","60,714,130",23.40,23.60,23.35,23.55,+0.05,"1,489"
107/06/26,"1,704,690","39,914,939",23.50,23.50,23.30,23.40,-0.15,901
107/06/27,"1,802,246","42,148,953",23.50,23.50,23.30,23.40, 0.00,969
107/06/28,"2,473,929","58,282,820",23.40,23.80,23.30,23.70,+0.30,"1,288"
107/06/29,"4,696,971","111,971,959",23.70,23.95,23.50,23.90,+0.20,"2,242"
107/09/03,"3,208,507","82,597,999",25.90,25.90,25.65,25.70,-0.20,"1,304"
107/09/04,"2,830,563","73,138,041",25.70,25.90,25.65,25.90,+0.20,787
107/09/05,"3,752,399","97,060,577",25.90,25.90,25.80,25.90, 0.00,"1,419"
