自行車路線類別,名稱,路線說明,路線長度(公里),路線規劃,可串聯自行車道,鄰近熱門景點,圖片連結 
運動型,八卦山脈風景生態自行車道,八卦山自行車道是彰化縣最著名、單一主線最長的自行車道。廣義的八卦山風景區自行車道包含了大佛賞鷹、四面佛區、百果山、虎山岩等自行車道，總長度超過100公里。八卦山自行車道之重要在於全線幾乎全位於八卦山脈上，沿著139縣道串連八卦山沿途景點，沿線風景優美、環境清幽，更重要的是緩緩上升的緩坡地形，對於想要自我挑戰的自行車騎士非常有吸引力，每到假日均吸引大批車友造訪，也是過去幾屆環化自行車挑戰賽、彰化經典百K自行車挑戰賽的重要路段，亦有專為此路線舉辦的自行車賽事如大佛盃經典挑戰賽、139登高挑戰賽。,22.7,八卦山大佛風景區→生態旅遊服務中心→cafe119露天主題咖啡→卦山月園→成功營區→不老泉→歡喜園→賞鷹平臺→忠烈祠→節孝祠→彰化藝術館,大佛賞鷹區自行車道、四面佛區自行車道、百果山自行車道、虎山岩自行車道、金墩山自行車道、 長青自行車道、社頭自行車道 ,彰化孔廟、縣立美術館、八卦山風景區、賞鷹步道、八卦山蝴蝶園、百果山農場、八卦茶園、猴探井、登山步道,https://email.chcg.gov.tw/df/u888y1qfh15glro3uw22bisg638fld
運動型,大佛賞鷹區自行車道,大佛賞鷹自行車道屬於八卦山生態遊憩自行車路網之一，沿途經過大佛風景區、C119軍機公園、八卦山生態遊客中心、賞鷹平台入口、懷忠祠、節孝祠等景點，沿線林相茂密生態豐富，若正逢賞鷹季節，有機會看見翱翔天際的老鷹。虎岩至四面佛區的中界點種有許多油桐樹，是四、五月賞桐花的好地方。此段路程還可以欣賞八卦山大佛夜景。上坡坡平坦之路線皆有，雖屬於運動型的自行車路線，不過因環境優美的遊憩氛圍，也適合青少年以上的親子同遊。賞鷹步道：是一條兼具生態旅遊、健行踏青的步行路線。可由139號縣道（虎崗路）旁賞鷹平台指標進入，每年3-4月可於此處見到南來過冬的鷹群，飛越八卦山脈北返，場面相當壯觀。沿５ｋ步道續行可經由龍涎北路自來水公司轉出，雖然路程較遠，但沿途風光明媚，且有各式說明指示牌提供資訊。夕陽時分，由此處觀賞遠方夕陽落日餘暉，美景更是動人。,13.4,大佛風景區→C119軍機公園→自來水公司(不老泉)→賞鷹平臺入口→華陽公園→自來水公司→成功營區→.忠烈祠→大佛風景區,八卦山風景生態自行車道、四面佛區自行車道、虎山岩區自行車道 ,賞鷹步道、孔廟、抗日烈士紀念碑公園,https://email.chcg.gov.tw/df/sxu8xpxzp41e6tvvgfc5iwwwg593i6
運動型,四面佛區自行車道,四面佛區自行車道屬於八卦山生態遊憩自行車路網之一，全線地形起伏稍大屬於挑戰級的自行車路線，騎乘須具備一定的體能與經驗。沿線會經過全東南亞地區最大的四面佛寺，使遊客一覽壯景。車道途中生態豐富景觀優美，種植有山櫻花、油桐花、柚子樹、龍眼樹等開花喬木，於不同季節體驗賞花趣味，途中也會經過以油桐花為主題設置的生態園區。除此臨近於此區車道附近，設有多間以牧牛為主的觀光工廠，體驗牧農生活。四面佛寺：位於彰化縣石牌坑是，佔地二甲多，是目前東南亞地區最大的泰式四面佛寺，由於四面佛 的恩澤與靈驗，每日從全台灣各地慕名而來參拜的信眾絡繹不絕。而佔地二甲多的佛寺園區，闢建有多處佛龕、佛亭，四面風光宜人，還可看到高鐵穿越八卦山的景色。福田賞桐生態園區：是由福田社區居民共同親手打造的賞桐社區，利用原始油桐樹，開闢賞花步道，並將廢雞舍改為居民活動中心，還有一顆夫妻桐為此區著名地標，到了桐花季還能在路上看到一顆顆桐花排成的愛心，別有一番濃濃的甜蜜情味。,8.3,銀行山→銀行山牧場→石牌國小→四面佛寺→銀行山,八卦山脈風景生態自行車道、大佛賞鷹區自行車道、虎山岩自行車道,四面佛寺、日月山景、今夜星辰、福田賞桐生態園區、銀行山牧場,https://email.chcg.gov.tw/df/a9knx26xpum1dro9hiqbu5ssr93pxz
挑戰型,百果山自行車道,百果山自行車道位於彰化縣知名的百果山風景區內，為一系列多環圈多支線的路線構成，有大迴圈也可行駛小迴圈，並透過139縣道之八卦山自行車道與其他路線串，因山坡路段較多，屬於挑戰型路線。除了自行車道外，也是登山步道群健行賞景的好地方。沿線經過的萬里長城步道，不僅可到達其它各主要景點，春秋兩季還可欣賞不同花卉盛開。登上最高稜線時可遠眺彰化平原及園林景色，視野非常遼闊。百果山風景區：屬於八卦山脈分支延伸，也是參山國家風景區的組成部份，除百果山風景區之外，沿出水巷進入還有二百坎、三百坎及四百坎登山步道，沿途多為荔枝、楊桃果園，走在最高稜線上，左右還可遠眺彰化平原，風景秀麗，是極為大眾化的登山健行路線。,15.4,百果山遊樂區→廣天宮岔路→明湖國小→老樟母女樹→鳳山寺,八卦山脈風景生態自行車道 ,百果山風景區、萬里長城步道、蜜餞文化館,無
運動型,虎山岩區自行車道,虎山岩區自行車道長短適中，沿途有虎山岩與碧山巖和清水巖縣定三級古蹟，同為彰化三大名寺之一，除了可供人休憩，也提供了多樣的宗教文化與展示給遊客參觀。也能於此車道走訪至賞鷹步道，清新的環境讓人心曠神怡。地形依山環抱，周邊遍植綠竹，茂密的竹林景觀是虎山岩區自行車道最大的特色。虎山岩休憩園區：遊客在騎乘的過程中，不僅能於此處小歇，還能參覽歷史文物與宗教文化等相關展示，內有文物陳列室、祭拜禮俗室、寺廟建築館以及內有虎山岩廟提供遊客參拜。賞鷹步道：是一條兼具生態旅遊、健行踏青的步行路線。可由139號縣道（虎崗路）旁賞鷹平台指標進入，每年3-4月可於此處見到南來過冬的鷹群，飛越八卦山脈北返，場面相當壯觀。沿５ｋ步道續行可經由龍涎北路自來水公司轉出，雖然路程較遠，但沿途風光明媚，且有各式說明指示牌提供資訊。夕陽時分，由此處觀賞遠方夕陽落日餘暉，美景更是動人。,8,虎山岩休憩區→岔路可往楊桃坡→岔路可往廖昌塗果園→一線天入口→一線天終點→小廟→岔路→聽竹橋往虎山巖,八卦山脈風景生態自行車道、大佛賞鷹區自行車道,賞鷹步道、虎山岩休憩園區,無
運動型,金墩山區自行車道,金墩山區自行車道位於花壇鄉，屬於八卦山生態遊憩自行車道系統的一部份，沿途景致清幽，相較於百果山、四面佛區等系統，金墩山相對平緩，但仍具備相當坡度。金墩山區自行車道，位於花壇鄉，屬於八卦山生態遊憩自行車道系統的一部份，全長4.2公里。沿路均為水泥路面，坡度上下起伏約有10度至15度位於花壇鄉，車道兩旁林木成蔭，曲折蜿蜒匯成綠色廊道，馳騁於此，令人心曠神怡。區內自行車道大致可分為挑戰級路線，包括蝴蝶區、芒草枯木景觀區、好漢坡、國寶樹景觀區。大眾級運動路線則有樟樹林蔭道區、九重葛花道區、相思林蔭道區、竹林水道區、林蔭休憩區…等。能於此車道至藤山步道走訪。而鄰近車道末段路線，更有八卦山蝴蝶園，提供遊客體驗不同類型的昆蟲生態之旅。八卦山蝴蝶園：全國唯一視野橫跨中部五縣市的八卦山昆蟲生態休閒農場，提供遊客體驗昆蟲生態之旅，觀看蝴蝶館、昆蟲展示館及食草培植園區，用通俗化、趣味化的解說觀察蝴蝶的一生。不定時舉辦昆蟲生態體驗之、教育之旅，成為假日休閒兼且戶外教學的好場所。藤山步道：為百果山上最具人氣的健身休閒步道，入口處位於員南路盡頭的藤山停車場右側斜坡，步道長年綠樹環繞以致終年如蔭，鄰近的景點與步道也相當的多，堪稱設施相當完整的賞桐步道。每逢油花桐季，這裡總是有著滿滿的賞花人潮，滿山滿谷的油桐花總讓山頭白了一片，常讓人有著置身雪境的錯覺。,4.2,八卦山昆蟲生態農場→金墩山車道入口廣場→卦山少林寺→秀水巷→三芬路,八卦山脈風景生態自行道、四面佛區自行車道、虎山岩區自行道,八卦山蝴蝶園、員林運動公園、藤山步道,無
挑戰型,長青自行車道,長青自行車道是全台第一條自行車專用道，由田中森林公園出發到終點橫山，全長大約15公里。由於路線沿田中及社頭的山麓而行，依道路平坦及坡道程度可分為普通級與挑戰級2段路線。適合親子同遊的普通級路線沿途經過贊天宮、清水岩，終點至社頭鄉護天宮；挑戰級路線則從清水岩旁的岔路沿著陡峭山勢而行，終點為橫山，沿線都是陡坡，必須具備相當體能才能順利騎完全程。田中森林公園：森林公園有規劃完善的登山步道，並有停車場、兒童遊憩場與公廁等設施，更於民國九十一年由參山國家風景區設置木棧道與枕木磚步道，提供民眾良好的休閒環境。,15,普通級：田中森林公園對面的仁愛之家開始→贊天宮→清水岩→社頭鄉護天宮；挑戰級：清水旁岔出主線→沿路山勢呈現陡峭→橫山,八卦山風景生態自行車道、社頭自行車道,猴探井、清水岩寺、護天宮、田中森林公園,無
親子型,田尾自行車道,田尾花卉苗圃產業興盛，發展出花園公路特殊的道路景觀，在田中市區與重要花卉產區，建置大小環狀自行車道，串聯區內花園、苗圃、公園及重要據點，提供遊客特殊的自行車遊憩體驗。並且與東螺溪自行車道系統串聯，可創造多樣化、多選擇性的自行車騎乘體驗。田尾花園服務中心：田尾公路花園遊客服務中心已於民國九十二年落成﹐建築興建於民國七十一年原為田尾圖書館﹐九十一年改建為遊客服務中心。中心內提供相關田尾旅遊資訊﹐並有介紹影片遊客預定觀賞。為了讓初次來訪的遊客能深切的了解田尾，訓練了一批優質的解說導覽員來服務遊客。 ,9.5,園藝風采路線：怡心園→民族路口→公園路→民生路一段→民族路；拈花惹草路線：怡心園→民族路→柳鳳路→公園路→民族路,東螺溪遊憩廊道,田尾花園遊客服務中心、怡心園,無
親子型,埔鹽環鎮自行車道,埔鹽鄉環鎮自行車道主要利用既有灌排水路的水防道路作為自行車道，沿途景色清幽、水綠環繞，可欣賞埔鹽地區田園風光。而其與東螺溪自行車道串聯，可透過東螺溪自行車道串聯到其他鄉鎮的自行車道系統。草地學堂：「草地學堂」（農村文化產業學堂）是一座外觀簡樸卻極富鄉村野趣的社區集會、交流、研習教育中心，更強化農村「產業文化」與「文化產業」的相結合，全國訪客不斷，都讚譽是「城鄉魅力大獎」、「魅力社區大獎」的最佳見證，是埔鹽鄉最具代表性的魅力景點。糯米風味坊：原為信合社所建造的舊肥料倉庫，後改建為台糖公司溪湖糖廠之溪湖原料站（埔鹽五分車站），為糖廠五分車道小火車的中繼站之一，作為糖廠相關物料運輸及客運之用。92年10月25日正式啟用為「糯米食品風味坊」，94年更名為糯米文化風味坊，內部含有許多陳年古物風情，陳年的煤油燈燈座、早年臼米的石舂臼以及風鼓車等古物，服務台亦是以舊時儲糧的「車輪畚」為實體造型。結合觀光、休閒、教育、人文特色，引領民眾體驗埔鹽鄉的懷古情懷生活。,17.8,糯米文化風味坊→碧雲寺→埔南生態園區→草地學堂→東螺溪休閒農場,埔鹽環鎮自行車道、東螺溪遊憩廊道,埔南生態園區、糯米風味坊、草地學堂、碧雲寺、東螺溪休閒農場,https://email.chcg.gov.tw/df/k2opb11nzf8jamug7va9txth9shlw7
親子型,二水自行車道(親子型),二水自行車道位於彰化縣的二水鄉，起點在二水火車站，全線沿著鐵路集集支線極為特色。全長約15公里非常適合鍛鍊體力，沿途景色相當漂亮，不僅有隨著季節盛開的波斯菊、小油菊、向日葵等隨風搖曳，還有許多老屋散佈在田野上，悠閒的原野景致有如油畫般的美麗。沿途還會經過二水車站、老街、八堡圳源頭等景點。車道鄰近源泉火車站與二水火車站，若外地前來此區騎乘也十分便捷。二水老街：位於二水車站的光文路老街，全長雖僅300公尺，但卻擁有濃厚的歷史風情味。街上的街屋與拱圈都保存的十分良好，還能看見從前的輾米廠、米店與硯店。八堡圳公園：八堡圳是一古老的水利設施，灌溉面積達一萬九千四百九十一公頃，遍及彰化縣十四鄉鎮，佔全縣一半以上的農田用水，可說是清初時期全台灣最大的水圳系統。站在水閘門旁不但可欣賞滾滾濁水洶湧澎湃氣勢之奇觀，更可以在旁邊的八堡圳公園欣賞濁水落日，而公園內設有古老的打水設施，可說是二水鄉當地最寶貴的資產，也是灌溉孕育彰化平原裡最富有生命力的活水源頭。大丘園休閒農場：豐富多元的自然山景及田園風光，將蔬菜及果園開發成休閒農場。本園區除參觀外，並提供採果等活動，讓遊客親身體會其中之樂趣。,15,二水光文路老街→鄭氏古厝→二水火車站→源泉火車站→林先生廟→水車休閒農園→八堡圳公園→二水臺灣獼猴生態館,無,二水老街、大丘園休閒農場、八堡圳公園、田中森林公園,https://email.chcg.gov.tw/df/ly4mj5gf65sllge5cysetqhmrlfwuq
