年度,機構名稱,訓練地址,班級名稱,訓練職類大類,開訓日期,結訓日期,受訓資格,訓練時數,就業率
2015,勞動力發展署桃竹苗分署,新竹市崧嶺路181號,少年之家飲料輕食製作專班（新竹）,醫事護理及家事類,2015/2/24,2015/11/5,國中(含)以上,548,10.00%
2013,勞動力發展署桃竹苗分署,新竹市崧嶺路181號,少年之家創意果雕與飲品調製專,醫事護理及家事類,2013/9/2,2014/1/27,國中(含)以上,336,12.12%
2012,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,內政部少年之家六福餐旅專,醫事護理及家事類,2012/6/29,2012/9/21,國中(含)以上,180,12.50%
2014,勞動力發展署桃竹苗分署,新竹市崧嶺路181號,門市服務與管理專班(少年之家),商業類,2014/8/4,2015/1/30,國中(含)以上,336,14.29%
2013,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,倉儲與門市管理專班,商業類,2013/6/25,2013/10/9,不限,600,28.57%
2012,勞動力發展署雲嘉南分署,臺南市官田區工業路40號,DIY創意木工,工業類,2012/4/10,2012/6/22,高中/職(含)以上,416,36.00%
2015,勞動力發展署雲嘉南分署,臺南市官田區工業路40號,實木家具製作班,工業類,2015/10/12,2015/11/27,國中(含)以上,280,38.89%
2012,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,生產物料與品質管理實務,商業類,2012/9/7,2012/11/14,高中/職(含)以上,384,44.44%
2012,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,工具機與精密模具設計製造A班,工業類,2012/8/20,2013/8/2,高中/職(含)以上,1880,50.00%
2014,勞動力發展署中彰投分署,彰化縣鹿港鎮中正路588號,網路商務技術應用設計班(A)(勞動學苑),工業類,2014/4/2,2014/8/13,高中/職(含)以上,600,50.00%
2015,勞動力發展署北基宜花金馬分署,新北市泰山區致遠新村55之1號,數位電子裝置設計(泰山),工業類,2015/4/1,2015/9/14,高中/職(含)以上,920,50.00%
2013,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,電腦網路工程實務A,工業類,2013/4/22,2013/10/8,專科(含)以上,912,51.72%
2014,勞動力發展署雲嘉南分署,臺南市官田區官田工業區工業路40號,營建工程實務-創意泥作,工業類,2014/7/23,2014/12/26,高中/職(含)以上,888,52.94%
2012,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路,堆高機操作(新增),工業類,2012/10/22,2012/10/30,不限,56,53.57%
2012,行政院勞工委員會職業訓練局泰山職業訓練中心,新北市泰山區貴子里致遠新村55之1號,數位電子,工業類,2012/1/11,2012/6/28,高中/職(含)以上,900,58.33%
2012,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,堆高機操作,工業類,2012/10/11,2012/10/19,不限,56,58.62%
2012,勞動力發展署桃竹苗分署,桃園市楊梅區幼獅路２段3號,嵌入式Android系統,工業類,2012/9/10,2012/11/1,不限,300,60.00%
2012,勞動力發展署桃竹苗分署,桃園市桃園區東國街14號,優質內衣車縫師,醫事護理及家事類,2012/6/28,2012/10/19,國中(含)以上,640,61.54%
2012,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,民宿經營管理實務,商業類,2012/6/11,2012/8/10,不限,360,62.50%
2012,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,倉儲管理專,商業類,2012/5/9,2012/8/22,不限,600,63.64%
2013,勞動力發展署高屏澎東分署,高雄市前鎮區凱旋四路105號,虛擬主機架設與管理,工業類,2013/9/2,2013/12/20,高中/職(含)以上,600,63.64%
2012,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路,堆高機操作(新增),工業類,2012/9/20,2012/9/28,不限,56,64.00%
2012,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路,堆高機操作(新增),工業類,2012/6/28,2012/7/6,不限,56,65.00%
2012,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,民宿經營管理實務,商業類,2012/3/13,2012/5/16,不限,360,66.67%
2012,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,芳香舒壓實務(美容組),醫事護理及家事類,2012/8/17,2012/10/9,國中(含)以上,304,66.67%
2013,勞動力發展署雲嘉南分署,臺南市官田區官田工業區工業路40號,汽車噴烤漆技術,工業類,2013/9/11,2014/2/27,高中/職(含)以上,920,66.67%
2013,勞動力發展署雲嘉南分署,臺南市官田區工業路40號,CNC車銑床操作(短期),工業類,2013/1/7,2013/1/18,高中/職(含)以上,80,66.67%
2014,勞動力發展署北基宜花金馬分署,新北市泰山區致遠新村55之1號,數位電子(泰山),工業類,2014/9/17,2015/3/5,專科(含)以上,920,66.67%
2014,勞動力發展署桃竹苗分署,桃園市楊梅區幼獅路二段三號, 電腦輔助產品開發(Auto CAD) (幼獅),工業類,2014/7/3,2014/12/12,高中/職(含)以上,900,66.67%
2014,勞動力發展署高屏澎東分署,高雄市前鎮區凱旋四路105號,可程式機電控制,工業類,2014/4/8,2014/6/27,高中/職(含)以上,450,66.67%
2015,勞動力發展署北基宜花金馬分署,新北市泰山區致遠新村55之1號,數位電子裝置設計(泰山),工業類,2015/1/5,2015/6/25,高中/職(含)以上,920,66.67%
2015,勞動力發展署北基宜花金馬分署,新北市泰山區致遠新村55之1號,模具設計與製造(泰山),工業類,2015/3/2,2015/8/27,高中/職(含)以上,1000,66.67%
2012,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,堆高機操作,工業類,2012/4/10,2012/4/18,不限,56,68.00%
2013,行政院勞工委員會職業訓練局泰山職業訓練中心,新北市泰山區貴子里致遠新村55之1號,數位電子,工業類,2013/1/4,2013/6/26,高中/職(含)以上,900,68.75%
2012,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,門市服務與管理實務,商業類,2012/7/12,2012/9/26,高中/職(含)以上,440,69.23%
2014,勞動力發展署雲嘉南分署,臺南市官田區官田工業區工業路40號,電腦輔助機械繪圖,工業類,2014/7/24,2014/12/26,高中/職(含)以上,888,69.23%
2013,勞動力發展署北基宜花金馬分署,新北市五股區五工五路47號1樓,雲端建置與管理(伺服主機暨網路資料庫程式設計應用)(五股),工業類,2013/10/14,2014/5/22,專科(含)以上,1200,69.57%
