類型,年度,店家名稱,產品名稱,電話,地址
彰化金好禮,2018,明奇食品有限公司,一頁燒(黑蒜頭口味)禮盒,04-8832641,彰化縣田尾鄉南曾村福德巷198-3.4.5號
彰化金好禮,2018,社頭泉昌醬油工廠,好運醬淋,04-8739218,彰化縣社頭鄉清水村清水岩路6-14號
彰化金好禮,2018,恆樂實業有限公司,咖啡紗3D科技襪,04-8398919,彰化縣員林市大同路二段342之一號
彰化金好禮,2018,耶呷呷食品有限公司,田中米倉煎餅禮盒,04-8756868,彰化縣田中鎮香山里三腳路二段310號
彰化金好禮,2018,郁文齋燈藝工作室,彩繪紙燈籠,04-7771786,彰化縣鹿港鎮中山路226號 
彰化金好禮,2018,張深淵食品行,張深淵經典肉干禮盒組,04-8366582,彰化縣員林市新興街86號
彰化金好禮,2018,進發環球有限公司,進發香蔥蜜麻花,04-8744164,彰化縣田中鎮斗中路二段705號
彰化金好禮,2018,鈞舜實業有限公司,『水根肉乾』人氣輕食三入禮盒,04-7223326 ,彰化縣彰化市民權路148號
彰化金好禮,2018,蕈優生物科技股份有限公司,雪見玉露-潤紅美人禮盒,04-8528597,彰化縣埔心鄉埤腳村柳橋東路829號
彰化金好禮,2018,寶珍香食品有限公司,乳酪麻糬餅及桂圓蛋糕,04-7381635,彰化市彰南路二段169號
彰化金好禮,2018,社頭鄉農會,芭樂心葉茶,04-8735437,彰化縣社頭鄉社斗路一段360號
彰化金好禮,2018,埤頭鄉農會,綜合巧米堡,04-8926221,彰化縣埤頭鄉合興村斗苑西路92號
彰化金好禮,2018,彰化縣農會,春仔花書籤,04-7263460,彰化市中山路二段349號1樓
彰化金好禮,2016,大城鄉農會,大城土豆麥酥,04-8944565,彰化縣大城鄉東城村南平路256號
彰化金好禮,2016,財團法人天主教會台中教區附設台灣省私立慈愛殘障教養院,手作の純米蛋捲,04-7124891,彰化縣彰化市大埔路676號
彰化金好禮,2016,新建美興業股份有限公司,油籽學堂禮盒,04-8985111,彰化縣芳苑鄉仁愛村斗苑路157號
彰化金好禮,2016,上禾堂國際美食有限公司(久久津乳酪?子手造所),炙燒乳酪塔(樂起司塔),04-7770895(福興中央廚房)04-22468808(台中門市）,彰化縣福興鄉大崙村大崙街48-1號1樓(總公司)台中市北屯區崇德路2段203號(台中門市)
彰化金好禮,2016,花壇鄉農會,花鳥風月茉莉烏龍袋茶,04-7877558,彰化縣花壇鄉花壇街273號
彰化金好禮,2016,埤頭鄉農會,時光穗稻米磚禮盒,04-8926221,彰化縣埤頭鄉合興村斗苑西路92號
彰化金好禮,2016,溪州鄉農會,溪州黑鑽紫黑米,04-8895610,彰化縣溪州鄉溪州村中央路三段324號
彰化金好禮,2016,二林鎮農會,蕎麥紅薏仁養生營養棒,04-8954972,彰化縣二林鎮南光里儒林路二段260號
彰化金好禮,2016,魔菇部落休閒農場,鮮採菇禮盒,04-8521898,彰化縣埔心鄉埤腳村柳橋東路829號
彰化金好禮,2016,台灣優格食品有限公司(台灣優格餅乾學院 ),魔法旅行箱,04-7582448,彰化縣線西鄉草豐路501巷5號
十大伴手禮,2014,富雨洋傘有限公司,饗遊彰化樂趣多,04-7690003,彰化縣秀水鄉金興村番花路274號
十大伴手禮,2014,象王宗教用品股份有限公司,書馫?香好,04-8385611,彰化縣員林鎮成功東路293號
十大伴手禮,2014,台灣優格食品有限公司,餅乾學院魔法寶典,04-7589501,彰化縣線西鄉草豐路501巷5號
十大伴手禮,2014,希望之丘咖啡店(希望之丘),阿萬星星酥,04-7114363,彰化縣花壇鄉白沙村觀音巷15弄7號
十大伴手禮,2014,宜秦食品股份有限公司(軒記台灣肉乾王),軒式幸福禮盒組,04-7977777,彰化縣伸港鄉工東一路30號
