興櫃最新行情表
製表日期: 109年06月29日 15:01:00
代號,名稱,前日均價,報買價,報買量,報賣價,報賣量,日最高,日最低,日均價,成交,投資人成交買賣別,暫停交易開始時間(時:分:秒),成交量,進度日期,上市櫃進度(註)
"1260","富味鄉","19.00","19.05","5,000","19.65","5,000","19.30","19.00","19.17","19.20","賣出","-","46,650","-","-"
"1269","乾杯","85.52","85.50","3,000","86.30","3,000","86.30","85.70","85.84","86.30","買進","-","14,100","-","-"
"1342","八貫","86.79","89.90","3,000","90.90","3,000","91.30","88.70","90.36","90.90","買進","-","121,588","109.06.24","送件申請上市"
"1563","巧新","51.09","50.70","4,000","51.10","11,000","51.40","50.60","50.95","51.10","買進","-","295,799","-","-"
"1585","鎧鉅","7.34","7.00","10,000","7.36","10,000","7.13","7.13","7.13","7.13","買進","-","6,000","-","-"
"1594","日高","10.23","10.00","10,000","10.50","10,000","-",-,"-","-","-","-","-","-","-"
"1780","立弘","20.58","20.15","3,000","20.45","3,000","20.50","20.20","20.30","20.45","買進","-","31,050","-","-"
"2071","震南鐵","22.74","22.90","9,000","24.05","3,000","24.00","22.70","23.00","24.00","買進","-","54,000","-","-"
"2211","長榮鋼","41.05","40.85","3,000","41.10","2,995","41.40","40.80","41.00","41.10","買進","-","68,515","-","-"
"2237","華德動能","17.00","17.30","5,000","17.55","5,000","17.65","17.00","17.29","17.65","買進","-","123,200","-","-"
"2241","艾姆勒","65.53","62.80","6,000","63.60","5,600","65.50","62.30","63.32","63.60","買進","-","576,281","109.06.23","證交所同意上市契約"
"2245","詠勝昌","26.58","26.50","4,000","26.95","3,000","26.50","26.50","26.50","26.50","賣出","-","2,000","-","-"
"2246","凱勝綠能","23.80","23.80","1,000","23.90","1,990","24.10","23.05","23.92","23.90","買進","-","754,081","-","-"
"2247","汎德永業","289.08","285.00","2,000","289.50","1,998","292.50","285.00","287.54","289.50","買進","-","13,479","109.01.17","證交所同意上市契約"
"2248","華勝-KY","34.60","34.60","3,000","35.55","6,000","-",-,"-","-","-","-","-","-","-"
"2249","湧盛","61.76","60.00","3,000","61.50","3,000","61.50","60.00","60.86","61.00","買進","-","20,700","-","-"
"2599","樂揚","18.45","18.40","10,000","18.60","9,900","18.60","18.40","18.50","18.60","買進","-","61,325","-","-"
"2721","楷捷-KY","5.90","5.79","10,000","5.90","5,000","-",-,"-","-","-","-","-","-","-"
"2730","美麗信","5.85","5.70","5,000","5.95","5,000","5.70","5.70","5.70","5.70","賣出","-","1","-","-"
"2733","維格","15.40","14.55","5,000","15.20","5,000","15.35","14.70","15.09","14.85","買進","-","28,200","-","-"
"2741","老四川","46.56","45.85","3,000","47.15","3,000","46.30","45.80","46.05","46.10","買進","-","13,001","-","-"
"2750","桃禧","10.90","10.40","15,000","10.90","15,000","-",-,"-","-","-","-","-","-","-"
"2754","亞洲藏壽司","99.88","107.50","2,000","110.50","1,950","115.00","102.00","107.15","110.50","買進","-","44,711","109.03.26","櫃買中心同意上櫃契約"
"2755","揚秦","70.87","69.00","6,000","70.30","6,000","71.60","69.90","70.43","70.20","買進","-","23,301","109.06.22","送件申請上櫃"
"2938","床的世界","39.45","38.05","3,000","39.95","3,000","38.10","38.00","38.10","38.10","賣出","-","4,001","-","-"
"2942","京站","49.84","49.80","6,000","50.20","3,000","50.20","49.80","50.00","50.00","買進","-","3,010","-","-"
"2945","三商家購","83.90","79.00","3,000","81.10","2,900","84.20","78.60","80.46","81.10","買進","-","19,809","-","-"
"3097","拍檔","19.60","18.65","5,000","19.55","5,000","19.15","18.65","18.89","19.15","買進","-","25,000","-","-"
"3117","年程","3.99","3.90","10,000","4.00","5,000","3.99","3.95","3.98","3.99","買進","-","8,000","-","-"
"3138","耀登","76.65","73.60","5,000","74.30","5,000","76.20","73.30","74.54","74.30","買進","-","280,848","-","-"
