"15歲以上人口數","總計","未婚","有偶","離婚","喪偶","男","未婚","有偶","離婚","喪偶","女","未婚","有偶","離婚","喪偶"
"105年/ 區域別總計 / 年齡別總計","20,397,935","7,041,373","10,364,347","1,673,523","1,318,692","10,083,204","3,822,678","5,220,813","794,574","245,139","10,314,731","3,218,695","5,143,534","878,949","1,073,553"
"105年/ 區域別總計 / 15-19歲","1,434,776","1,430,980","3,389","404","3","747,320","746,614","646","60","-","687,456","684,366","2,743","344","3"
"105年/ 區域別總計 / 20-24歲","1,608,149","1,550,572","49,822","7,697","58","834,607","816,135","15,996","2,472","4","773,542","734,437","33,826","5,225","54"
"105年/ 區域別總計 / 25-29歲","1,602,037","1,304,776","266,885","29,901","475","829,814","718,327","100,309","11,122","56","772,223","586,449","166,576","18,779","419"
"105年/ 區域別總計 / 30-34歲","1,787,567","910,492","785,801","88,005","3,269","895,355","531,745","330,554","32,779","277","892,212","378,747","455,247","55,226","2,992"
"105年/ 區域別總計 / 35-39歲","2,023,172","636,809","1,200,123","177,050","9,190","1,000,692","372,998","550,567","76,011","1,116","1,022,480","263,811","649,556","101,039","8,074"
"105年/ 區域別總計 / 40-44歲","1,833,753","395,974","1,190,990","229,330","17,459","903,230","218,380","575,805","106,815","2,230","930,523","177,594","615,185","122,515","15,229"
"105年/ 區域別總計 / 45-49歲","1,819,997","283,828","1,235,526","267,708","32,935","901,383","150,766","614,890","130,882","4,845","918,614","133,062","620,636","136,826","28,090"
"105年/ 區域別總計 / 50-54歲","1,871,648","206,952","1,322,794","279,767","62,135","924,716","109,336","667,961","137,999","9,420","946,932","97,616","654,833","141,768","52,715"
"105年/ 區域別總計 / 55-59歲","1,756,657","135,957","1,277,728","242,427","100,545","861,044","71,252","656,619","117,356","15,817","895,613","64,705","621,109","125,071","84,728"
"105年/ 區域別總計 / 60-64歲","1,554,074","85,690","1,137,442","179,911","151,031","752,645","40,735","600,180","88,433","23,297","801,429","44,955","537,262","91,478","127,734"
"105年/ 區域別總計 / 65-69歲","1,118,221","46,919","797,283","96,119","177,900","533,682","19,994","437,705","49,222","26,761","584,539","26,925","359,578","46,897","151,139"
"105年/ 區域別總計 / 70-74歲","663,987","19,221","444,209","36,832","163,725","307,929","8,867","252,323","20,081","26,658","356,058","10,354","191,886","16,751","137,067"
"105年/ 區域別總計 / 75-79歲","579,794","13,062","342,590","20,049","204,093","256,390","6,048","201,119","10,485","38,738","323,404","7,014","141,471","9,564","165,355"
"105年/ 區域別總計 / 80-84歲","387,717","7,865","185,216","9,445","185,191","167,699","3,726","117,811","5,044","41,118","220,018","4,139","67,405","4,401","144,073"
"105年/ 區域別總計 / 85-89歲","241,771","6,716","93,838","6,052","135,165","114,543","4,033","72,028","3,865","34,617","127,228","2,683","21,810","2,187","100,548"
"105年/ 區域別總計 / 90-94歲","91,542","3,986","26,060","2,320","59,176","42,154","2,614","22,260","1,603","15,677","49,388","1,372","3,800","717","43,499"
"105年/ 區域別總計 / 95-99歲","20,005","1,247","4,043","427","14,288","8,597","861","3,537","281","3,918","11,408","386","506","146","10,370"
"105年/ 區域別總計 / 100歲以上","3,068","327","608","79","2,054","1,404","247","503","64","590","1,664","80","105","15","1,464"
"105年/ 新北市 / 年齡別總計","3,471,785","1,254,563","1,722,877","306,174","188,171","1,688,216","670,673","849,122","137,362","31,059","1,783,569","583,890","873,755","168,812","157,112"
"105年/ 新北市 / 15-19歲","234,604","234,138","411","55","-","121,826","121,749","73","4","-","112,778","112,389","338","51","-"
"105年/ 新北市 / 20-24歲","272,488","264,500","6,782","1,200","6","141,673","139,141","2,152","380","-","130,815","125,359","4,630","820","6"
"105年/ 新北市 / 25-29歲","279,313","236,189","38,340","4,728","56","144,410","128,746","13,936","1,717","11","134,903","107,443","24,404","3,011","45"
"105年/ 新北市 / 30-34歲","307,673","171,708","120,926","14,634","405","153,230","98,760","49,247","5,194","29","154,443","72,948","71,679","9,440","376"
"105年/ 新北市 / 35-39歲","353,120","122,491","198,460","30,824","1,345","173,041","70,502","89,659","12,708","172","180,079","51,989","108,801","18,116","1,173"
"105年/ 新北市 / 40-44歲","323,168","75,942","204,006","40,742","2,478","157,870","40,492","98,687","18,330","361","165,298","35,450","105,319","22,412","2,117"
"105年/ 新北市 / 45-49歲","314,882","53,405","208,735","47,766","4,976","151,544","26,703","101,936","22,176","729","163,338","26,702","106,799","25,590","4,247"
"105年/ 新北市 / 50-54歲","329,003","38,065","230,392","50,774","9,772","154,233","18,388","111,087","23,255","1,503","174,770","19,677","119,305","27,519","8,269"
"105年/ 新北市 / 55-59歲","312,936","24,762","226,076","45,864","16,234","146,070","11,712","111,286","20,531","2,541","166,866","13,050","114,790","25,333","13,693"
"105年/ 新北市 / 60-64歲","278,689","15,778","202,511","35,608","24,792","129,691","6,725","103,223","16,070","3,673","148,998","9,053","99,288","19,538","21,119"
"105年/ 新北市 / 65-69歲","192,041","8,628","135,187","19,550","28,676","89,921","3,284","73,297","9,326","4,014","102,120","5,344","61,890","10,224","24,662"
"105年/ 新北市 / 70-74歲","102,640","3,267","67,343","7,351","24,679","47,584","1,411","38,689","3,850","3,634","55,056","1,856","28,654","3,501","21,045"
"105年/ 新北市 / 75-79歲","77,878","2,160","44,202","3,819","27,697","33,800","967","26,590","1,894","4,349","44,078","1,193","17,612","1,925","23,348"
"105年/ 新北市 / 80-84歲","46,959","1,257","21,952","1,710","22,040","20,255","600","14,694","924","4,037","26,704","657","7,258","786","18,003"
"105年/ 新北市 / 85-89歲","30,195","1,164","12,472","1,038","15,521","15,046","726","10,138","656","3,526","15,149","438","2,334","382","11,995"
"105年/ 新北市 / 90-94歲","12,555","739","4,118","418","7,280","6,216","490","3,613","282","1,831","6,339","249","505","136","5,449"
"105年/ 新北市 / 95-99歲","3,086","290","816","69","1,911","1,527","220","703","47","557","1,559","70","113","22","1,354"
"105年/ 新北市 / 100歲以上","555","80","148","24","303","279","57","112","18","92","276","23","36","6","211"
"105年/ 臺北市 / 年齡別總計","2,320,576","777,605","1,239,532","169,457","133,982","1,094,840","389,233","611,068","72,416","22,123","1,225,736","388,372","628,464","97,041","111,859"
"105年/ 臺北市 / 15-19歲","139,035","138,907","107","21","-","72,205","72,185","17","3","-","66,830","66,722","90","18","-"
"105年/ 臺北市 / 20-24歲","149,903","147,023","2,522","355","3","77,232","76,401","714","117","-","72,671","70,622","1,808","238","3"
"105年/ 臺北市 / 25-29歲","156,428","132,215","22,638","1,557","18","78,503","70,285","7,672","546","-","77,925","61,930","14,966","1,011","18"
"105年/ 臺北市 / 30-34歲","201,232","100,524","95,371","5,185","152","94,574","54,233","38,519","1,807","15","106,658","46,291","56,852","3,378","137"
"105年/ 臺北市 / 35-39歲","236,650","70,082","154,155","11,923","490","110,724","36,666","69,379","4,602","77","125,926","33,416","84,776","7,321","413"
"105年/ 臺北市 / 40-44歲","210,866","48,403","143,284","18,100","1,079","98,197","22,770","67,787","7,474","166","112,669","25,633","75,497","10,626","913"
