"離婚人數","國籍別總計","外國籍","本國籍","大陸港澳"
"106年/ 區域別總計 / 計","108,824","4,706","98,024","6,094"
"106年/ 區域別總計 / 男","54,412","779","53,273","360"
"106年/ 區域別總計 / 女","54,412","3,927","44,751","5,734"
"106年/ 新北市 / 計","19,898","843","17,842","1,213"
"106年/ 新北市 / 男","9,949","162","9,694","93"
"106年/ 新北市 / 女","9,949","681","8,148","1,120"
"106年/ 臺北市 / 計","11,000","400","9,892","708"
"106年/ 臺北市 / 男","5,500","173","5,266","61"
"106年/ 臺北市 / 女","5,500","227","4,626","647"
"106年/ 桃園市 / 計","11,592","573","10,345","674"
"106年/ 桃園市 / 男","5,796","79","5,672","45"
"106年/ 桃園市 / 女","5,796","494","4,673","629"
"106年/ 臺中市 / 計","12,642","430","11,611","601"
"106年/ 臺中市 / 男","6,321","80","6,210","31"
"106年/ 臺中市 / 女","6,321","350","5,401","570"
"106年/ 臺南市 / 計","8,142","335","7,431","376"
"106年/ 臺南市 / 男","4,071","44","4,006","21"
"106年/ 臺南市 / 女","4,071","291","3,425","355"
"106年/ 高雄市 / 計","13,242","542","11,934","766"
"106年/ 高雄市 / 男","6,621","81","6,494","46"
"106年/ 高雄市 / 女","6,621","461","5,440","720"
"106年/ 宜蘭縣 / 計","2,066","91","1,880","95"
"106年/ 宜蘭縣 / 男","1,033","14","1,017","2"
"106年/ 宜蘭縣 / 女","1,033","77","863","93"
"106年/ 新竹縣 / 計","2,466","112","2,223","131"
"106年/ 新竹縣 / 男","1,233","11","1,217","5"
"106年/ 新竹縣 / 女","1,233","101","1,006","126"
"106年/ 苗栗縣 / 計","2,598","150","2,294","154"
"106年/ 苗栗縣 / 男","1,299","10","1,287","2"
"106年/ 苗栗縣 / 女","1,299","140","1,007","152"
"106年/ 彰化縣 / 計","4,780","246","4,296","238"
"106年/ 彰化縣 / 男","2,390","22","2,361","7"
"106年/ 彰化縣 / 女","2,390","224","1,935","231"
"106年/ 南投縣 / 計","2,132","108","1,916","108"
"106年/ 南投縣 / 男","1,066","5","1,057","4"
"106年/ 南投縣 / 女","1,066","103","859","104"
"106年/ 雲林縣 / 計","2,790","158","2,452","180"
"106年/ 雲林縣 / 男","1,395","11","1,382","2"
"106年/ 雲林縣 / 女","1,395","147","1,070","178"
"106年/ 嘉義縣 / 計","2,164","153","1,875","136"
"106年/ 嘉義縣 / 男","1,082","4","1,075","3"
"106年/ 嘉義縣 / 女","1,082","149","800","133"
"106年/ 屏東縣 / 計","3,958","194","3,557","207"
"106年/ 屏東縣 / 男","1,979","22","1,946","11"
"106年/ 屏東縣 / 女","1,979","172","1,611","196"
"106年/ 臺東縣 / 計","1,130","56","1,027","47"
"106年/ 臺東縣 / 男","565","6","557","2"
"106年/ 臺東縣 / 女","565","50","470","45"
"106年/ 花蓮縣 / 計","1,914","74","1,765","75"
"106年/ 花蓮縣 / 男","957","13","937","7"
"106年/ 花蓮縣 / 女","957","61","828","68"
"106年/ 澎湖縣 / 計","572","28","530","14"
"106年/ 澎湖縣 / 男","286","6","280","-"
"106年/ 澎湖縣 / 女","286","22","250","14"
"106年/ 基隆市 / 計","2,052","84","1,825","143"
"106年/ 基隆市 / 男","1,026","12","1,006","8"
"106年/ 基隆市 / 女","1,026","72","819","135"
"106年/ 新竹市 / 計","1,850","69","1,687","94"
"106年/ 新竹市 / 男","925","12","909","4"
"106年/ 新竹市 / 女","925","57","778","90"
"106年/ 嘉義市 / 計","1,310","44","1,196","70"
"106年/ 嘉義市 / 男","655","11","641","3"
"106年/ 嘉義市 / 女","655","33","555","67"
"106年/ 金門縣 / 計","472","15","407","50"
"106年/ 金門縣 / 男","236","1","234","1"
"106年/ 金門縣 / 女","236","14","173","49"
"106年/ 連江縣 / 計","54","1","39","14"
"106年/ 連江縣 / 男","27","-","25","2"
"106年/ 連江縣 / 女","27","1","14","12"
"106年 1月/ 區域別總計 / 計","7,544","272","6,822","450"
"106年 1月/ 區域別總計 / 男","3,772","48","3,692","32"
"106年 1月/ 區域別總計 / 女","3,772","224","3,130","418"
"106年 1月/ 新北市 / 計","1,382","55","1,237","90"
"106年 1月/ 新北市 / 男","691","13","672","6"
"106年 1月/ 新北市 / 女","691","42","565","84"
"106年 1月/ 臺北市 / 計","796","30","708","58"
"106年 1月/ 臺北市 / 男","398","9","384","5"
"106年 1月/ 臺北市 / 女","398","21","324","53"
"106年 1月/ 桃園市 / 計","774","35","701","38"
"106年 1月/ 桃園市 / 男","387","8","377","2"
"106年 1月/ 桃園市 / 女","387","27","324","36"
"106年 1月/ 臺中市 / 計","874","21","816","37"
"106年 1月/ 臺中市 / 男","437","4","428","5"
"106年 1月/ 臺中市 / 女","437","17","388","32"
"106年 1月/ 臺南市 / 計","542","17","490","35"
"106年 1月/ 臺南市 / 男","271","3","264","4"
"106年 1月/ 臺南市 / 女","271","14","226","31"
"106年 1月/ 高雄市 / 計","950","29","867","54"
"106年 1月/ 高雄市 / 男","475","2","470","3"
"106年 1月/ 高雄市 / 女","475","27","397","51"
"106年 1月/ 宜蘭縣 / 計","178","5","166","7"
"106年 1月/ 宜蘭縣 / 男","89","1","88","-"
"106年 1月/ 宜蘭縣 / 女","89","4","78","7"
"106年 1月/ 新竹縣 / 計","172","3","160","9"
"106年 1月/ 新竹縣 / 男","86","-","86","-"
"106年 1月/ 新竹縣 / 女","86","3","74","9"
"106年 1月/ 苗栗縣 / 計","168","8","145","15"
"106年 1月/ 苗栗縣 / 男","84","-","84","-"
"106年 1月/ 苗栗縣 / 女","84","8","61","15"
"106年 1月/ 彰化縣 / 計","342","15","304","23"
"106年 1月/ 彰化縣 / 男","171","1","168","2"
"106年 1月/ 彰化縣 / 女","171","14","136","21"
"106年 1月/ 南投縣 / 計","120","10","103","7"
"106年 1月/ 南投縣 / 男","60","1","59","-"
"106年 1月/ 南投縣 / 女","60","9","44","7"
"106年 1月/ 雲林縣 / 計","230","7","207","16"
"106年 1月/ 雲林縣 / 男","115","-","115","-"
"106年 1月/ 雲林縣 / 女","115","7","92","16"
"106年 1月/ 嘉義縣 / 計","128","4","121","3"
"106年 1月/ 嘉義縣 / 男","64","-","63","1"
"106年 1月/ 嘉義縣 / 女","64","4","58","2"
"106年 1月/ 屏東縣 / 計","254","9","233","12"
"106年 1月/ 屏東縣 / 男","127","3","122","2"
"106年 1月/ 屏東縣 / 女","127","6","111","10"
"106年 1月/ 臺東縣 / 計","72","2","68","2"
"106年 1月/ 臺東縣 / 男","36","-","36","-"
"106年 1月/ 臺東縣 / 女","36","2","32","2"
"106年 1月/ 花蓮縣 / 計","142","3","132","7"
"106年 1月/ 花蓮縣 / 男","71","-","71","-"
"106年 1月/ 花蓮縣 / 女","71","3","61","7"
"106年 1月/ 澎湖縣 / 計","40","-","39","1"
"106年 1月/ 澎湖縣 / 男","20","-","20","-"
"106年 1月/ 澎湖縣 / 女","20","-","19","1"
"106年 1月/ 基隆市 / 計","166","10","139","17"
"106年 1月/ 基隆市 / 男","83","1","81","1"
"106年 1月/ 基隆市 / 女","83","9","58","16"
"106年 1月/ 新竹市 / 計","98","7","86","5"
"106年 1月/ 新竹市 / 男","49","2","47","-"
"106年 1月/ 新竹市 / 女","49","5","39","5"
"106年 1月/ 嘉義市 / 計","86","1","75","10"
"106年 1月/ 嘉義市 / 男","43","-","42","1"
"106年 1月/ 嘉義市 / 女","43","1","33","9"
"106年 1月/ 金門縣 / 計","26","1","23","2"
"106年 1月/ 金門縣 / 男","13","-","13","-"
"106年 1月/ 金門縣 / 女","13","1","10","2"
"106年 1月/ 連江縣 / 計","4","-","2","2"
"106年 1月/ 連江縣 / 男","2","-","2","-"
"106年 1月/ 連江縣 / 女","2","-","-","2"
"106年 2月/ 區域別總計 / 計","7,930","364","7,156","410"
"106年 2月/ 區域別總計 / 男","3,965","64","3,876","25"
"106年 2月/ 區域別總計 / 女","3,965","300","3,280","385"
"106年 2月/ 新北市 / 計","1,430","59","1,288","83"
"106年 2月/ 新北市 / 男","715","10","696","9"
"106年 2月/ 新北市 / 女","715","49","592","74"
"106年 2月/ 臺北市 / 計","842","32","769","41"
"106年 2月/ 臺北市 / 男","421","19","398","4"
"106年 2月/ 臺北市 / 女","421","13","371","37"
"106年 2月/ 桃園市 / 計","774","45","692","37"
"106年 2月/ 桃園市 / 男","387","7","377","3"
"106年 2月/ 桃園市 / 女","387","38","315","34"
"106年 2月/ 臺中市 / 計","860","30","797","33"
"106年 2月/ 臺中市 / 男","430","7","423","-"
"106年 2月/ 臺中市 / 女","430","23","374","33"
"106年 2月/ 臺南市 / 計","640","38","576","26"
"106年 2月/ 臺南市 / 男","320","3","317","-"
"106年 2月/ 臺南市 / 女","320","35","259","26"
"106年 2月/ 高雄市 / 計","1,068","42","963","63"
"106年 2月/ 高雄市 / 男","534","7","524","3"
"106年 2月/ 高雄市 / 女","534","35","439","60"
"106年 2月/ 宜蘭縣 / 計","144","7","132","5"
"106年 2月/ 宜蘭縣 / 男","72","1","71","-"
"106年 2月/ 宜蘭縣 / 女","72","6","61","5"
"106年 2月/ 新竹縣 / 計","176","10","154","12"
"106年 2月/ 新竹縣 / 男","88","3","85","-"
"106年 2月/ 新竹縣 / 女","88","7","69","12"
"106年 2月/ 苗栗縣 / 計","168","5","150","13"
"106年 2月/ 苗栗縣 / 男","84","-","84","-"
"106年 2月/ 苗栗縣 / 女","84","5","66","13"
"106年 2月/ 彰化縣 / 計","346","21","310","15"
"106年 2月/ 彰化縣 / 男","173","3","169","1"
"106年 2月/ 彰化縣 / 女","173","18","141","14"
"106年 2月/ 南投縣 / 計","172","7","158","7"
"106年 2月/ 南投縣 / 男","86","-","85","1"
"106年 2月/ 南投縣 / 女","86","7","73","6"
"106年 2月/ 雲林縣 / 計","174","8","154","12"
"106年 2月/ 雲林縣 / 男","87","-","87","-"
"106年 2月/ 雲林縣 / 女","87","8","67","12"
"106年 2月/ 嘉義縣 / 計","198","19","161","18"
"106年 2月/ 嘉義縣 / 男","99","-","99","-"
"106年 2月/ 嘉義縣 / 女","99","19","62","18"
"106年 2月/ 屏東縣 / 計","268","10","244","14"
