"離婚對數","離婚對數","粗離婚率"
"106年/ 區域別總計","54,412","2.31"
"106年/ 新北市","9,949","2.50"
"106年/ 臺北市","5,500","2.05"
"106年/ 桃園市","5,796","2.67"
"106年/ 臺中市","6,321","2.28"
"106年/ 臺南市","4,071","2.16"
"106年/ 高雄市","6,621","2.38"
"106年/ 宜蘭縣","1,033","2.26"
"106年/ 新竹縣","1,233","2.24"
"106年/ 苗栗縣","1,299","2.33"
"106年/ 彰化縣","2,390","1.86"
"106年/ 南投縣","1,066","2.12"
"106年/ 雲林縣","1,395","2.01"
"106年/ 嘉義縣","1,082","2.11"
"106年/ 屏東縣","1,979","2.38"
"106年/ 臺東縣","565","2.57"
"106年/ 花蓮縣","957","2.90"
"106年/ 澎湖縣","286","2.76"
"106年/ 基隆市","1,026","2.76"
"106年/ 新竹市","925","2.11"
"106年/ 嘉義市","655","2.43"
"106年/ 金門縣","236","1.73"
"106年/ 連江縣","27","2.12"
"106年 5月/ 區域別總計","4,564","0.19"
"106年 5月/ 新北市","840","0.21"
"106年 5月/ 臺北市","425","0.16"
"106年 5月/ 桃園市","523","0.24"
"106年 5月/ 臺中市","513","0.18"
"106年 5月/ 臺南市","355","0.19"
"106年 5月/ 高雄市","528","0.19"
"106年 5月/ 宜蘭縣","89","0.19"
"106年 5月/ 新竹縣","107","0.19"
"106年 5月/ 苗栗縣","114","0.20"
"106年 5月/ 彰化縣","213","0.17"
"106年 5月/ 南投縣","89","0.18"
"106年 5月/ 雲林縣","116","0.17"
"106年 5月/ 嘉義縣","92","0.18"
"106年 5月/ 屏東縣","170","0.20"
"106年 5月/ 臺東縣","44","0.20"
"106年 5月/ 花蓮縣","73","0.22"
"106年 5月/ 澎湖縣","20","0.19"
"106年 5月/ 基隆市","97","0.26"
"106年 5月/ 新竹市","71","0.16"
"106年 5月/ 嘉義市","53","0.20"
"106年 5月/ 金門縣","26","0.19"
"106年 5月/ 連江縣","6","0.47"
"106年 6月/ 區域別總計","4,947","0.21"
"106年 6月/ 新北市","935","0.23"
"106年 6月/ 臺北市","516","0.19"
"106年 6月/ 桃園市","495","0.23"
"106年 6月/ 臺中市","567","0.20"
"106年 6月/ 臺南市","331","0.18"
"106年 6月/ 高雄市","608","0.22"
"106年 6月/ 宜蘭縣","115","0.25"
"106年 6月/ 新竹縣","116","0.21"
"106年 6月/ 苗栗縣","121","0.22"
"106年 6月/ 彰化縣","215","0.17"
"106年 6月/ 南投縣","102","0.20"
"106年 6月/ 雲林縣","133","0.19"
"106年 6月/ 嘉義縣","109","0.21"
"106年 6月/ 屏東縣","183","0.22"
"106年 6月/ 臺東縣","53","0.24"
"106年 6月/ 花蓮縣","73","0.22"
"106年 6月/ 澎湖縣","23","0.22"
"106年 6月/ 基隆市","89","0.24"
"106年 6月/ 新竹市","84","0.19"
"106年 6月/ 嘉義市","65","0.24"
"106年 6月/ 金門縣","13","0.10"
"106年 6月/ 連江縣","1","0.08"
"106年 7月/ 區域別總計","4,641","0.20"
"106年 7月/ 新北市","856","0.21"
"106年 7月/ 臺北市","462","0.17"
"106年 7月/ 桃園市","521","0.24"
"106年 7月/ 臺中市","550","0.20"
"106年 7月/ 臺南市","336","0.18"
"106年 7月/ 高雄市","557","0.20"
"106年 7月/ 宜蘭縣","67","0.15"
"106年 7月/ 新竹縣","119","0.22"
"106年 7月/ 苗栗縣","122","0.22"
"106年 7月/ 彰化縣","198","0.15"
"106年 7月/ 南投縣","83","0.16"
"106年 7月/ 雲林縣","123","0.18"
"106年 7月/ 嘉義縣","100","0.19"
"106年 7月/ 屏東縣","166","0.20"
"106年 7月/ 臺東縣","49","0.22"
"106年 7月/ 花蓮縣","82","0.25"
"106年 7月/ 澎湖縣","19","0.18"
"106年 7月/ 基隆市","79","0.21"
"106年 7月/ 新竹市","85","0.19"
"106年 7月/ 嘉義市","45","0.17"
"106年 7月/ 金門縣","22","0.16"
"106年 7月/ 連江縣","-","-"
"106年 8月/ 區域別總計","5,141","0.22"
"106年 8月/ 新北市","993","0.25"
"106年 8月/ 臺北市","524","0.20"
"106年 8月/ 桃園市","538","0.25"
"106年 8月/ 臺中市","615","0.22"
"106年 8月/ 臺南市","390","0.21"
"106年 8月/ 高雄市","607","0.22"
"106年 8月/ 宜蘭縣","99","0.22"
"106年 8月/ 新竹縣","103","0.19"
"106年 8月/ 苗栗縣","117","0.21"
"106年 8月/ 彰化縣","204","0.16"
"106年 8月/ 南投縣","92","0.18"
"106年 8月/ 雲林縣","129","0.19"
"106年 8月/ 嘉義縣","86","0.17"
"106年 8月/ 屏東縣","193","0.23"
"106年 8月/ 臺東縣","47","0.21"
"106年 8月/ 花蓮縣","94","0.29"
"106年 8月/ 澎湖縣","36","0.35"
"106年 8月/ 基隆市","96","0.26"
"106年 8月/ 新竹市","91","0.21"
"106年 8月/ 嘉義市","56","0.21"
"106年 8月/ 金門縣","28","0.21"
"106年 8月/ 連江縣","3","0.24"
"106年 9月/ 區域別總計","4,679","0.20"
"106年 9月/ 新北市","818","0.21"
"106年 9月/ 臺北市","461","0.17"
"106年 9月/ 桃園市","467","0.21"
"106年 9月/ 臺中市","540","0.19"
"106年 9月/ 臺南市","366","0.19"
"106年 9月/ 高雄市","598","0.22"
"106年 9月/ 宜蘭縣","83","0.18"
"106年 9月/ 新竹縣","102","0.19"
"106年 9月/ 苗栗縣","139","0.25"
"106年 9月/ 彰化縣","220","0.17"
"106年 9月/ 南投縣","81","0.16"
"106年 9月/ 雲林縣","102","0.15"
"106年 9月/ 嘉義縣","92","0.18"
"106年 9月/ 屏東縣","190","0.23"
"106年 9月/ 臺東縣","45","0.20"
"106年 9月/ 花蓮縣","93","0.28"
"106年 9月/ 澎湖縣","24","0.23"
"106年 9月/ 基隆市","96","0.26"
"106年 9月/ 新竹市","89","0.20"
"106年 9月/ 嘉義市","55","0.20"
"106年 9月/ 金門縣","13","0.10"
"106年 9月/ 連江縣","5","0.39"
"106年 10月/ 區域別總計","4,519","0.19"
"106年 10月/ 新北市","808","0.20"
"106年 10月/ 臺北市","447","0.17"
"106年 10月/ 桃園市","528","0.24"
"106年 10月/ 臺中市","539","0.19"
"106年 10月/ 臺南市","335","0.18"
"106年 10月/ 高雄市","512","0.18"
"106年 10月/ 宜蘭縣","78","0.17"
"106年 10月/ 新竹縣","97","0.18"
"106年 10月/ 苗栗縣","92","0.17"
"106年 10月/ 彰化縣","228","0.18"
"106年 10月/ 南投縣","95","0.19"
"106年 10月/ 雲林縣","106","0.15"
"106年 10月/ 嘉義縣","86","0.17"
"106年 10月/ 屏東縣","163","0.20"
"106年 10月/ 臺東縣","62","0.28"
"106年 10月/ 花蓮縣","83","0.25"
"106年 10月/ 澎湖縣","26","0.25"
"106年 10月/ 基隆市","80","0.22"
"106年 10月/ 新竹市","75","0.17"
"106年 10月/ 嘉義市","58","0.22"
"106年 10月/ 金門縣","17","0.12"
"106年 10月/ 連江縣","4","0.31"
"106年 11月/ 區域別總計","4,631","0.20"
"106年 11月/ 新北市","816","0.20"
"106年 11月/ 臺北市","485","0.18"
"106年 11月/ 桃園市","508","0.23"
"106年 11月/ 臺中市","568","0.20"
"106年 11月/ 臺南市","368","0.20"
"106年 11月/ 高雄市","522","0.19"
"106年 11月/ 宜蘭縣","95","0.21"
"106年 11月/ 新竹縣","104","0.19"
"106年 11月/ 苗栗縣","120","0.22"
"106年 11月/ 彰化縣","201","0.16"
"106年 11月/ 南投縣","79","0.16"
"106年 11月/ 雲林縣","118","0.17"
"106年 11月/ 嘉義縣","78","0.15"
"106年 11月/ 屏東縣","157","0.19"
"106年 11月/ 臺東縣","51","0.23"
"106年 11月/ 花蓮縣","83","0.25"
"106年 11月/ 澎湖縣","29","0.28"
"106年 11月/ 基隆市","90","0.24"
"106年 11月/ 新竹市","86","0.20"
"106年 11月/ 嘉義市","54","0.20"
"106年 11月/ 金門縣","18","0.13"
"106年 11月/ 連江縣","1","0.08"
"106年 12月/ 區域別總計","4,442","0.19"
"106年 12月/ 新北市","813","0.20"
"106年 12月/ 臺北市","483","0.18"
"106年 12月/ 桃園市","490","0.22"
"106年 12月/ 臺中市","528","0.19"
"106年 12月/ 臺南市","331","0.18"
"106年 12月/ 高雄市","544","0.20"
"106年 12月/ 宜蘭縣","68","0.15"
