按地區別分_District_or_region,總計_Total,男_Male,女_Female,年齡15-24歲_合計_15-24_years_Total,年齡15-24歲_男_15-24_years_Male,年齡15-24歲_女_15-24_years_Female,年齡15-24歲_15-19歲_小計_15-24_years_15-19_years_Total,年齡15-24歲_15-19歲_男_15-24_years_15-19_years_Male,年齡15-24歲_15-19歲_女_15-24_years_15-19_years_Female,年齡15-24歲_20-24歲_小計_15-24_years_20-24_years_Total,年齡15-24歲_20-24歲_男_15-24_years_20-24_years_Male,年齡15-24歲_20-24歲_女_15-24_years_20-24_years_Female,年齡25-44歲_合計_25-44_years_Total,年齡25-44歲_男_25-44_years_Male,年齡25-44歲_女_25-44_years_Female,年齡25-44歲_25-29歲_小計_25-44_years_25-29_years_Total,年齡25-44歲_25-29歲_男_25-44_years_25-29_years_Male,年齡25-44歲_25-29歲_女_25-44_years_25-29_years_Female,年齡25-44歲_30-34歲_小計_25-44_years_30-34_years_Total,年齡25-44歲_30-34歲_男_25-44_years_30-34_years_Male,年齡25-44歲_30-34歲_女_25-44_years_30-34_years_Female,年齡25-44歲_35-39歲_小計_25-44_years_35-39_years_Total,年齡25-44歲_35-39歲_男_25-44_years_35-39_years_Male,年齡25-44歲_35-39歲_女_25-44_years_35-39_years_Female,年齡25-44歲_40-44歲_小計_25-44_years_40-44_years_Total,年齡25-44歲_40-44歲_男_25-44_years_40-44_years_Male,年齡25-44歲_40-44歲_女_25-44_years_40-44_years_Female,年齡45-64歲_合計_45-64_years_Total,年齡45-64歲_男_45-64_years_Male,年齡45-64歲_女_45-64_years_Female,年齡45-64歲_45-49歲_小計_45-64_years_45-49_years_Total,年齡45-64歲_45-49歲_男_45-64_years_45-49_years_Male,年齡45-64歲_45-49歲_女_45-64_years_45-49_years_Female,年齡45-64歲_50-54歲_小計_45-64_years_50-54_years_Total,年齡45-64歲_50-54歲_男_45-64_years_50-54_years_Male,年齡45-64歲_50-54歲_女_45-64_years_50-54_years_Female,年齡45-64歲_55-59歲_小計_45-64_years_55-59_years_Total,年齡45-64歲_55-59歲_男_45-64_years_55-59_years_Male,年齡45-64歲_55-59歲_女_45-64_years_55-59_years_Female,年齡45-64歲_60-64歲_小計_45-64_years_60-64_years_Total,年齡45-64歲_60-64歲_男_45-64_years_60-64_years_Male,年齡45-64歲_60-64歲_女_45-64_years_60-64_years_Female,年齡65歲以上_合計_65_years_and_over_Total,年齡65歲以上_男_65_years_and_over_Male,年齡65歲以上_女_65_years_and_over_Female
  臺灣地區 Taiwan Area             ,3.73,3.85,3.58,11.88,11.43,12.39,9.22,7.38,12.31,12.27,12.14,12.4,3.87,4.15,3.55,6.57,7.06,6.07,3.22,3.46,2.96,3.18,3.29,3.06,2.79,3.25,2.23,1.94,2.21,1.55,1.99,2.37,1.53,2.02,2.32,1.6,1.65,2.01,1.09,2.14,2,2.41,0.34,0.42,0.15
      北部地區 Northern region       ,3.8,4,3.4,11.7,12,11.5,5,4.5,5.7,12.7,13.3,12.1,3.9,4.3,3.5,6.5,7.3,5.7,3.6,3.9,3.2,3.2,3.3,3.1,2.8,3.3,2.3,1.9,2.3,1.4,2,2.4,1.4,1.9,2.4,1.4,1.5,2,0.9,2.3,2.1,2.7,0.7,0.9,0.2
         新北市 New Taipei City  ,3.8,4.1,3.4,10.8,10.6,11,5.8,4.1,8.9,11.4,11.5,11.2,4.3,4.7,3.8,6.3,6.5,6,3.9,4,3.7,3.5,3.6,3.3,3.8,5,2.4,1.6,2.2,0.8,1.4,2.1,0.6,2.2,3,1.2,1.2,1.8,0.4,1.7,2,1.3,0.2,0.2,0.3
         臺北市 Taipei City   ,3.7,3.8,3.6,16.3,18.8,13.6,1.5,1.6,1.1,19,23.2,15,3.7,3.6,3.8,7.7,7.8,7.6,3,4.1,1.9,2.9,2.2,3.6,2.5,1.8,3.1,1.5,1.7,1.2,2,2.3,1.7,1.5,1.8,1.1,1.1,1.2,1,0.9,1,0.8,0.8,1.1,-
         桃園市 Taoyuan City         ,3.8,4,3.6,10.7,9.8,11.7,4.9,7.5,1.7,11.5,10.2,12.9,3.7,4.2,3,6.3,7.8,4.7,3.3,3.6,3,3.4,3.9,2.7,1.8,2.1,1.5,2.4,2.3,2.6,3,2.8,3.2,1.3,1,1.8,2.5,3.3,1.4,3.2,2.1,4.9,0.3,0.3,0.2
         基隆市 Keelung City          ,3.8,4,3.5,5.7,5,6.4,9.3,5.4,13.9,5.2,4.9,5.4,3.9,3.9,3.8,6.9,7.7,6.1,2.7,2.3,3.2,4.1,4.2,4,1.4,1.3,1.5,3.3,4,2.2,1.8,3.3,-,1.4,1.8,0.8,3.1,3.4,2.7,10.4,9.4,12.9,2.9,3.4,1.8
         新竹市 Hsinchu City          ,3.7,4.2,3.2,11.5,11.3,11.7,12,18.9,-,11.4,9.9,13,3.8,4.4,3.1,6.7,9.6,3.9,3.6,3,4.2,2.7,2.4,3.1,2.8,3.8,1.6,2.1,2.6,1.3,2.3,3.6,0.6,1.3,0.5,2.3,0.4,0.4,0.4,7.1,9.7,2.6,2.6,3.5,-
         宜蘭縣 Yilan County            ,3.7,4.3,3,7.8,8.8,6.6,1.5,-,4.2,9.2,11.1,7,3.9,5,2.7,3.3,4,2.6,3.5,4.5,2.4,5.1,6.1,3.9,3.7,5.1,1.8,2.6,2.8,2.4,1.6,1.5,1.8,2.7,4.4,0,2.6,3.7,0.7,4.7,0.4,13.8,1.3,1.6,-
         新竹縣 Hsinchu County         ,3.8,4.4,3,13.1,12.3,13.8,17.7,13,23.4,12.6,12.3,12.9,3.2,4.1,2.2,6.2,9.1,3,5.4,4.9,6.1,1.2,2.2,-,1.3,1.6,1,2.5,3.4,1.2,1.9,3.2,0.2,4.7,5.8,3,1.5,1.9,0.9,-,-,-,-,-,-
     中部地區 Central region        ,3.7,3.8,3.6,12.8,11.5,14.2,15.6,9.2,24.7,12.3,11.8,12.9,3.8,4.2,3.2,6.2,7.2,5.2,3.3,3.7,2.8,2.9,3.2,2.5,2.8,3.1,2.4,1.7,2,1.4,1.3,1.8,0.7,1.9,1.9,2,1.7,1.9,1.4,2.3,2.5,1.8,0.1,0.1,0.1
         臺中市 Taichung City         ,3.7,4,3.4,10.9,10.5,11.3,15.6,9,23.2,10.2,10.7,9.7,4,4.5,3.3,7.2,9.7,4.8,3.3,3.3,3.4,2.9,3.2,2.5,2.6,2.6,2.7,1.8,2.1,1.4,1.5,1.9,0.9,2,2.2,1.6,2.1,2.3,1.7,1.5,1.6,1.4,0.1,0.2,-
         苗栗縣 Miaoli County          ,3.7,4.3,2.9,12.5,11.3,13.9,10.5,1.8,28.1,12.7,13,12.5,3.3,4.3,2.2,3.2,4.1,2.2,3.2,4.1,2.1,4.3,6.1,2.2,2.5,2.5,2.5,2.3,3,1.1,0.9,1.2,0.5,2.2,2.6,1.7,2.3,2.7,1.7,5.5,7.8,0.5,0.2,0.1,0.5
         彰化縣 Changhua County        ,3.7,3.4,4.1,15.1,11.3,19.3,17.8,9.3,28.1,14.8,11.6,18.1,3.1,3.2,3.1,4.8,3.1,6.6,2.4,3,1.7,2.7,3.1,2.3,2.8,3.6,1.5,2,2.4,1.4,2,3,0.5,2.2,1.6,3.2,0.9,1,0.7,3.7,5,0.9,0,-,0.1
         南投縣 Nantou County          ,3.7,3.5,3.9,15.3,15.1,15.5,10,11.7,6,16.3,15.9,16.6,4,4.4,3.4,6.1,7,5.2,3.6,5.1,1.7,2.7,2.5,2.9,3.5,3.4,3.5,1.1,0.6,1.7,0.1,-,0.2,1.5,0.7,2.5,1.1,1.7,0.2,1.9,-,5.7,0.2,0.2,-
         雲林縣 Yunlin County          ,3.6,3.5,3.9,13.7,12.3,15.6,21.8,12.6,37.3,12.5,12.3,12.8,4.2,4.6,3.8,7.3,7.8,6.8,4.7,5.8,3.5,2.1,1.2,3.2,3.4,4.6,1.8,1.1,1.1,1.2,0.8,1,0.6,1.1,1.3,0.7,2.1,1.8,2.6,0.4,-,1.4,0.1,0.2,-
    南部地區 Southern region       ,3.7,3.6,3.8,11.5,10.8,12.2,8.9,8.4,9.9,11.8,11.3,12.4,3.9,3.8,4,7.2,6.7,7.7,2.6,2.4,2.8,3.4,3.4,3.5,2.5,2.9,2.1,2.2,2.4,1.9,2.6,2.8,2.4,2.3,2.7,1.8,1.8,2.2,1.1,1.6,1.4,2.1,0.2,0.3,0.1
        臺南市 Tainan City    ,3.7,3.6,3.9,11.2,9.3,13.4,7.7,6.1,10.3,11.8,9.9,13.8,3.8,4,3.6,6.1,7,5.2,2.3,1.5,3.2,4.6,5.5,3.6,2.3,2,2.7,2.4,2.4,2.5,2.2,2.5,1.9,3.4,3.3,3.6,2,2,1.8,1.8,1.5,2.4,0.2,0.2,0.1
        高雄市 Kaohsiung City,3.7,3.6,3.7,11.3,10.9,11.7,5.9,4.7,8.7,12,12.1,11.9,3.7,3.5,3.9,7.4,6.2,8.7,2.6,3,2.2,2.4,2,2.9,2.8,3.4,2,2.3,2.6,1.8,2.7,2.7,2.5,1.8,2.5,0.9,2.5,3.4,1.1,1.8,1.1,3,0.5,0.7,0.2
        嘉義市 Chiayi City           ,3.7,3.6,3.8,11.8,10.4,13.7,10.5,5.4,22.3,11.9,11.2,13,4.2,3.9,4.6,8.9,8.2,9.6,1.3,1.4,1.3,4.8,2.7,7,2.2,3.4,0.9,1.5,2,0.9,2.9,3.8,2,0.4,0.8,-,0.4,0.3,0.5,2.3,3.3,-,-,-,-
        嘉義縣 Chiayi County          ,3.7,3.8,3.6,11.5,12.6,10.3,9.8,14.2,4.2,11.8,12.3,11.2,4.6,4.4,4.9,7.9,7.2,8.7,2.3,2.1,2.5,5.1,5.3,4.7,3,2.9,3.2,1.8,2.5,0.7,3.2,4.8,1,0.9,1.4,0.2,1.2,1.6,0.5,1.9,2.2,1.4,-,-,-
        屏東縣 Pingtung County        ,3.7,3.5,4.1,12.2,12.5,11.8,16.4,20.4,7.3,11.6,11.1,12.1,4.1,3.8,4.5,8.3,7.3,9.2,3.5,3,4,2.8,2.2,3.5,2.1,3.1,0.8,1.8,1.8,1.8,3,2.3,3.8,2.5,3.1,1.5,0.4,0.7,0,0.3,0.4,-,0,-,0.1
        澎湖縣 Penghu County,3.7,3.2,4.4,12.3,12,12.6,31.8,20.6,41.9,9.4,10.8,8.2,2.6,2.1,3.3,4.3,5.6,3.2,4.6,1.4,8.3,0.9,0.6,1.3,0.8,1.3,-,2.9,2.8,2.9,3.4,1.9,5.8,3.3,4.6,0.8,1.6,1.3,2.1,2.2,2.8,-,-,-,-
    東部地區 Eastern region        ,3.6,3.7,3.5,10,7.9,12.2,19,23.7,3.6,8.4,3.5,12.9,4.2,5.1,3.2,5.1,4.7,5.5,3.3,4.5,1.9,2.8,2.7,2.9,5.6,8.4,2.1,1.8,1.7,2,1.8,1.5,2.1,1.4,1.9,0.8,1.1,0.8,1.5,3.8,2.8,5.3,0.4,-,1
        臺東縣 Taitung County         ,3.6,4.9,1.9,8,9.1,6.6,21.7,25.9,8,5.2,3.9,6.5,4.4,7.1,1.4,5.3,7.5,3.3,0.6,1.1,-,2.2,3.3,1,9.5,15.8,1.1,2.1,2.4,1.6,2.8,3.7,1.6,2.4,3.7,0.3,0.5,0.7,-,2.4,-,5.8,0.7,-,1.7
        花蓮縣 Hualien County         ,3.6,2.8,4.6,11.3,7.1,15.5,16.8,22,-,10.4,3.2,16.5,4,3.8,4.3,5,2.9,6.9,5,6.7,3.1,3.1,2.3,4.2,3.2,3.5,2.8,1.6,1.1,2.3,1,-,2.4,0.7,0.5,1.1,1.6,0.9,2.5,5,5,4.9,-,-,-
