項目別_Item,總計_Total,國中及以下_合計_Junior_high_and_below_Total,國中及以下_國小及以下_Junior_high_and_below_Primary_school_and_below,國中及以下_國中_Junior_high_and_below_Junior_high,高中_職_合計_Senior_high_and_vocational_Total,高中_職_高中_Senior_high_and_vocational_Senior_high,高中_職_高職_Senior_high_and_vocational_Vocational,大專及以上_合計_Junior_college_and_above_Total,大專及以上_專科_Junior_college_and_above_Junior_college,大專及以上_大學_Junior_college_and_above_University,大專及以上_研究所_Junior_college_and_above_Graduate_school
總計    Total,3.73,2.87,2.3,3.15,3.51,3.62,3.47,4.13,2.69,5.3,2.93
  按性別分 by sex,,,,,,,,,,,
　男    Male,3.85,3.05,1.94,3.54,3.81,4.14,3.7,4.24,2.94,5.62,2.87
　女    Female,3.58,2.42,3.01,2.04,3.07,2.85,3.15,4.04,2.39,5.06,3
  按年齡分 by age,,,,,,,,,,,
　15~24歲 Years       ,11.88,7.17,-,7.27,9.26,9.3,9.24,14.06,8.72,14.74,18.32
　　15~19歲 Years       ,9.22,9.43,-,9.48,11.85,17.43,9.89,1.02,1.88,0.89,-
　　20~24歲 Years       ,12.27,6.23,-,6.34,8.52,7.29,9.05,14.72,9.09,15.45,18.32
    25~44歲 Years       ,3.87,4.46,3.78,4.54,3.71,3.88,3.65,3.87,3.1,4.29,3.51
　　25~29歲 Years       ,6.57,8.05,57.25,6.19,5.27,4.86,5.44,6.92,6.14,6.79,8.14
　　30~34歲 Years       ,3.22,4.63,-,5.11,3.32,3.73,3.15,3.06,3.63,3.28,1.78
　　35~39歲 Years       ,3.18,3.48,2.66,3.62,3.4,3.86,3.24,3.02,3.09,3.08,2.73
　　40~44歲 Years       ,2.79,4.22,1.65,4.55,3.36,3.27,3.38,2.17,2.18,2.19,2.12
    45~64歲 Years       ,1.94,2.58,3.19,2.3,1.96,1.8,2.01,1.48,1.78,1.31,0.89
　　45~49歲 Years       ,1.99,3.04,11.98,2.36,2.13,1.96,2.19,1.62,2.09,1.24,1.01
　　50~54歲 Years       ,2.02,2.59,6.58,1.93,2.17,1.71,2.32,1.55,1.82,1.59,0.74
　　55~59歲 Years       ,1.65,2.36,1.75,2.6,1.45,1.62,1.39,1.01,1.15,1.05,0.44
　　60~64歲 Years       ,2.14,2.58,2.74,2.31,1.71,1.93,1.6,1.42,1.43,1.16,1.99
　65歲及以上 Years + over,0.34,0.33,0.35,0.13,0.7,1.34,0.24,0.11,0.07,0.21,-
