按地區別分_District_or_region,總計_Total,男_Male,女_Female,國中及以下_合計_Junior_high_and_below_Total,國中及以下_男_Junior_high_and_below_Male,國中及以下_女_Junior_high_and_below_Female,國中及以下_國小及以下_小計_Junior_high_and_below_Primary_school_and_below_Total,國中及以下_國小及以下_男_Junior_high_and_below_Primary_school_and_below_Male,國中及以下_國小及以下_女_Junior_high_and_below_Primary_school_and_below_Female,國中及以下_國中_小計_Junior_high_and_below_Junior_high_Total,國中及以下_國中_男_Junior_high_and_below_Junior_high_Male,國中及以下_國中_女_Junior_high_and_below_Junior_high_Female,高中職_合計_Senior_high_and_vocational_Total,高中職_男_Senior_high_and_vocational_Male,高中職_女_Senior_high_and_vocational_Female,高中職_高中_小計_Senior_high_and_vocational_Senior_high_Total,高中職_高中_男_Senior_high_and_vocational_Senior_high_Male,高中職_高中_女_Senior_high_and_vocational_Senior_high_Female,高中職_高職_小計_Senior_high_and_vocational_Vocational_Total,高中職_高職_男_Senior_high_and_vocational_Vocational_Male,高中職_高職_女_Senior_high_and_vocational_Vocational_Female,大專及以上_合計_Junior_college_and_above_Total,大專及以上_男_Junior_college_and_above_Male,大專及以上_女_Junior_college_and_above_Female,大專及以上_專科_小計_Junior_college_and_above_Junior_college_Total,大專及以上_專科_男_Junior_college_and_above_Junior_college_Male,大專及以上_專科_女_Junior_college_and_above_Junior_college_Female,大專及以上_大學_小計_Junior_college_and_above_University_Total,大專及以上_大學_男_Junior_college_and_above_University_Male,大專及以上_大學_女_Junior_college_and_above_University_Female,大專及以上_研究所_小計_Junior_college_and_above_Graduate_school_Total,大專及以上_研究所_男_Junior_college_and_above_Graduate_school_Male,大專及以上_研究所_女_Junior_college_and_above_Graduate_school_Female
  臺灣地區 Taiwan Area             ,3.73,3.85,3.58,2.87,3.05,2.42,2.3,1.94,3.01,3.15,3.54,2.04,3.51,3.81,3.07,3.62,4.14,2.85,3.47,3.7,3.15,4.13,4.24,4.04,2.69,2.94,2.39,5.3,5.62,5.06,2.93,2.87,3
      北部地區 Northern region       ,3.8,4,3.4,3.5,3.8,2.7,3.7,3.6,4,3.4,3.9,2.1,3.7,4.3,2.8,4.6,5.5,3.2,3.3,3.8,2.6,3.9,4,3.8,2.8,3,2.5,4.9,5.2,4.7,2.5,2.3,2.6
         新北市 New Taipei City  ,3.8,4.1,3.4,2.4,2.8,1.4,1.4,0.8,2.4,2.8,3.4,1,4,4.9,2.8,4.6,5.9,2.7,3.7,4.4,2.8,4.1,4.1,4,2.8,3.6,2,5.2,5,5.3,2.8,2.8,2.7
         臺北市 Taipei City   ,3.7,3.8,3.6,3,2,5.2,4.5,1.4,8.6,2.4,2.2,2.9,3.4,3.9,2.6,4.7,5.1,3.8,2.7,3.1,2,3.8,4,3.7,2.4,2.7,2,4.8,5.5,4.2,2.6,1.8,3.3
         桃園市 Taoyuan City         ,3.8,4,3.6,4.5,5.3,3.2,4.8,6.7,2.5,4.5,4.9,3.6,3.4,3.9,2.8,4.9,5.3,4.3,3,3.4,2.3,3.9,3.6,4.2,3,2.5,3.8,5.1,4.9,5.2,1.5,2.3,0.6
         基隆市 Keelung City          ,3.8,4,3.5,7.9,8,7.8,11.4,11,12.6,6.6,6.9,5.3,2.8,2.2,3.6,4.6,5,4,2,1,3.4,3.2,3.5,2.8,2.7,3,2.3,3.9,4,3.8,1.9,3.5,-
         新竹市 Hsinchu City          ,3.7,4.2,3.2,4.3,5.5,1,12.3,19.3,-,2.3,2.6,1.4,3.8,4,3.4,4,5,2.5,3.7,3.7,3.7,3.6,4,3.3,2.6,2.8,2.3,4.4,5.6,3.3,3.2,2.6,3.8
         宜蘭縣 Yilan County            ,3.7,4.3,3,4,3.6,5.1,3.8,0.8,10.8,4.1,4.6,2.6,4.5,5.8,2.6,4.3,4.4,4.1,4.5,6.2,2.3,3.1,3.8,2.5,2.6,2.9,2.4,4,5.6,2.9,1.3,1.4,1.2
         新竹縣 Hsinchu County         ,3.8,4.4,3,4,5.7,0.7,5.4,9.6,-,3.3,4.2,1.3,3.1,3.8,2.1,4.3,5.8,2.2,2.4,2.6,2,4.2,4.5,3.8,3.6,3,4.5,5.6,6.6,4.7,1.9,2.9,0.8
     中部地區 Central region        ,3.7,3.8,3.6,2.5,2.5,2.6,1.9,1.6,2.5,2.8,2.8,2.6,3.3,3.3,3.2,2.6,2.9,2.2,3.5,3.5,3.5,4.5,5.1,4,2.6,3.4,1.7,5.8,6.6,5.2,4,4.1,3.9
         臺中市 Taichung City         ,3.7,4,3.4,2,1.8,2.5,1.5,0.1,4,2.2,2.3,1.9,3.2,3.4,2.8,2.2,2.3,2,3.4,3.6,3,4.5,5.4,3.8,2.8,3.7,1.8,5.6,6.8,4.7,4.5,4.8,4.1
         苗栗縣 Miaoli County          ,3.7,4.3,2.9,4.8,5.2,3.9,5.8,8.2,2,4.3,4.1,4.8,3,3.7,2,3.9,4.9,2.5,2.6,3.2,1.7,3.9,4.3,3.4,3.5,4.1,2.7,4.3,5.6,3.2,3.1,0.6,6.5
         彰化縣 Changhua County        ,3.7,3.4,4.1,3,3.3,2.2,2.1,2.9,0.1,3.5,3.5,3.6,3.4,3,4.1,1,1.3,0.5,4,3.4,5.1,4.3,4,4.5,1.8,2.9,0.5,6.2,5.5,6.8,3,1.9,3.6
         南投縣 Nantou County          ,3.7,3.5,3.9,2.2,1.5,4.1,2.8,0.1,8.8,1.9,2.2,1.1,3.4,3.3,3.5,3.9,4.2,3.6,3.1,2.8,3.4,4.9,5.9,4.1,2.2,2.1,2.3,6.5,7.6,5.7,5.2,8.8,1.1
         雲林縣 Yunlin County          ,3.6,3.5,3.9,1.7,1.7,1.4,0.1,0.1,0.3,2.7,2.8,2.3,3.9,3.8,4.2,3.5,3.6,3.3,4.2,3.9,4.6,5,5.6,4.6,3,3.3,2.5,6.7,8.3,5.7,3.3,2.4,3.9
    南部地區 Southern region       ,3.7,3.6,3.8,2.4,2.6,1.9,1.8,1.4,2.5,2.8,3.4,1.3,3.5,3.6,3.4,3,3,2.8,3.7,3.8,3.6,4.4,4.2,4.6,2.5,2.3,2.8,5.7,5.6,5.7,3.2,3.4,2.9
        臺南市 Tainan City    ,3.7,3.6,3.9,2.6,2.2,3.3,2.5,1.3,4.7,2.6,2.9,1.9,4,3.9,4.2,3.6,3.2,4.2,4.1,4.1,4.2,4.1,4.2,4,2.6,2.4,2.8,4.9,5.7,4.3,3.9,3,4.8
        高雄市 Kaohsiung City,3.7,3.6,3.7,2.5,3.3,0.9,2,3.2,0.2,2.8,3.3,1.4,3.2,3.4,3,2.4,2.6,2.1,3.4,3.5,3.2,4.3,4,4.6,2.1,2.2,2.1,5.9,5.3,6.4,2.5,3.3,1.6
        嘉義市 Chiayi City           ,3.7,3.6,3.8,3.1,4.4,-,2.3,3.7,-,3.4,4.7,-,3.1,3.6,2.5,3.1,4,1.6,3.1,3.3,2.9,4,3.4,4.6,4.8,3.8,6,4,3.3,4.6,2.7,3.1,2.2
        嘉義縣 Chiayi County          ,3.7,3.8,3.6,2.7,3.7,0.3,0.5,0.8,-,4.8,6.1,0.7,3.5,3.6,3.4,1.6,1.8,1.4,4.4,4.5,4.4,5,4.4,5.5,2.6,2.8,2.3,6.6,6.1,6.8,4.3,3,6.3
        屏東縣 Pingtung County        ,3.7,3.5,4.1,1.4,1.2,1.9,1,-,3.1,1.7,1.9,0.8,3.6,3.9,3.1,3.4,4,2.5,3.7,3.9,3.4,5.4,5.3,5.5,2.9,1.4,4.4,7.1,7.9,6.5,4.7,6.2,2.7
        澎湖縣 Penghu County,3.7,3.2,4.4,3.9,3.8,4.1,5.5,4.2,8.5,3.1,3.7,-,3.4,3,4,3.6,2.2,4.8,3.2,3.4,3,3.8,3,4.7,0.2,0.3,-,5.9,4.6,7,2,2.7,1.4
    東部地區 Eastern region        ,3.6,3.7,3.5,4.1,4.5,3.2,1.4,-,3.9,6.5,8.1,2.5,3.1,3.2,2.9,3.1,3.5,2.5,3.1,3.1,3.1,3.7,3.3,4,2.8,2.7,2.9,4.5,4.7,4.4,2.8,1.1,5.3
        臺東縣 Taitung County         ,3.6,4.9,1.9,3.5,4.6,1.2,0.7,-,1.9,6.5,9.2,0.3,3.9,5,2.6,5.6,7.5,2.5,3.4,4,2.6,3.3,5.2,1.8,4.5,4.1,4.9,2.9,6.7,0.5,2.1,3.5,-
        花蓮縣 Hualien County         ,3.6,2.8,4.6,4.8,4.5,5.7,2.4,-,6.7,6.5,7.1,4.8,2.5,2,3.2,1.5,0.7,2.5,2.9,2.4,3.5,3.9,2.4,5.2,2,2,2,5.4,3.7,6.6,3.2,-,7.5
